location.x|location.y|location.z|vector.x|vector.y|vector.z|Route
-490.7496|227.6854|0.0|0.0089|-1.0|-0.0|-
-487.2498|227.7167|0.0|0.0089|-1.0|-0.0|-
-483.7499|227.748|0.0|0.0089|-1.0|-0.0|-
-515.269|232.6239|0.0|0.0011|1.0|0.0|-
-511.769|232.6202|0.0|0.0011|1.0|0.0|route3
-508.269|232.6165|0.0|0.0011|1.0|0.0|route2
-504.769|232.6128|0.0|0.0011|1.0|0.0|route1
-494.269|232.6016|0.0|-0.0011|-1.0|-0.0|-
-490.769|232.5979|0.0|-0.0011|-1.0|-0.0|-
-487.269|232.5942|0.0|-0.0011|-1.0|-0.0|-
-483.769|232.5904|0.0|-0.0011|-1.0|-0.0|-
-515.2577|237.6439|0.0|0.0023|1.0|0.0|-
-511.7577|237.6358|0.0|0.0023|1.0|0.0|route3
-508.2577|237.6276|0.0|0.0023|1.0|0.0|route2
-504.7577|237.6194|0.0|0.0023|1.0|0.0|route1
-494.2578|237.5949|0.0|-0.0023|-1.0|-0.0|-
-490.7578|237.5868|0.0|-0.0023|-1.0|-0.0|-
-487.2578|237.5786|0.0|-0.0023|-1.0|-0.0|-
-483.7578|237.5704|0.0|-0.0023|-1.0|-0.0|-
254.8018|-129.1075|0.0196|-0.0031|1.0|0.0|-
254.2125|-124.9308|0.0196|-0.4131|0.9107|0.0|-
251.8032|-122.5721|0.0196|-0.9606|0.2779|0.0|-
20.0409|-170.5425|0.1959|1.0|0.0057|0.0|-
20.0609|-174.0424|0.1959|-1.0|-0.0057|-0.0|-
25.0409|-170.514|0.1959|1.0|0.0057|0.0|-
25.0608|-174.014|0.1959|-1.0|-0.0057|-0.0|-
30.0408|-170.4856|0.1959|1.0|0.0057|0.0|-
30.0607|-173.9855|0.1959|-1.0|-0.0057|-0.0|-
35.0407|-170.4571|0.1959|1.0|0.0057|0.0|-
35.0606|-173.9571|0.1959|-1.0|-0.0057|-0.0|-
40.0406|-170.4286|0.1959|1.0|0.0057|0.0|-
40.0605|-173.9286|0.1959|-1.0|-0.0057|-0.0|-
45.0405|-170.4002|0.1959|1.0|0.0057|0.0|-
45.0605|-173.9001|0.1959|-1.0|-0.0057|-0.0|-
50.0405|-170.3717|0.1959|1.0|0.0057|0.0|-
50.0604|-173.8717|0.1959|-1.0|-0.0057|-0.0|-
133.1913|-169.8984|0.1959|1.0|0.0057|0.0|-
133.2112|-173.3984|0.1959|-1.0|-0.0057|-0.0|-
138.1912|-169.87|0.1959|1.0|0.0057|0.0|-
138.2111|-173.3699|0.1959|-1.0|-0.0057|-0.0|-
143.1911|-169.8415|0.1959|1.0|0.0057|0.0|-
143.211|-173.3415|0.1959|-1.0|-0.0057|-0.0|-
148.191|-169.8131|0.1959|1.0|0.0057|0.0|-
148.211|-173.313|0.1959|-1.0|-0.0057|-0.0|-
153.1909|-169.7846|0.1959|1.0|0.0057|0.0|-
153.2109|-173.2845|0.1959|-1.0|-0.0057|-0.0|-
158.1909|-169.7561|0.1959|1.0|0.0057|0.0|-
158.2108|-173.2561|0.1959|-1.0|-0.0057|-0.0|-
163.1908|-169.7277|0.1959|1.0|0.0057|0.0|-
163.2107|-173.2276|0.1959|-1.0|-0.0057|-0.0|-
168.1907|-169.6992|0.1959|1.0|0.0057|0.0|-
168.2106|-173.1992|0.1959|-1.0|-0.0057|-0.0|-
173.1906|-169.6708|0.1959|1.0|0.0057|0.0|-
173.2106|-173.1707|0.1959|-1.0|-0.0057|-0.0|-
178.1905|-169.6423|0.1959|1.0|0.0057|0.0|-
178.2105|-173.1422|0.1959|-1.0|-0.0057|-0.0|-
183.1905|-169.6138|0.1959|1.0|0.0057|0.0|-
183.2104|-173.1138|0.1959|-1.0|-0.0057|-0.0|-
188.1904|-169.5854|0.1959|1.0|0.0057|0.0|-
188.2103|-173.0853|0.1959|-1.0|-0.0057|-0.0|-
210.5764|-169.458|0.1959|1.0|0.0057|0.0|-
210.5964|-172.9579|0.1959|-1.0|-0.0057|-0.0|-
215.5764|-169.4295|0.1959|1.0|0.0057|0.0|-
215.5963|-172.9294|0.1959|-1.0|-0.0057|-0.0|-
220.5763|-169.401|0.1959|1.0|0.0057|0.0|-
220.5962|-172.901|0.1959|-1.0|-0.0057|-0.0|-
225.5762|-169.3726|0.1959|1.0|0.0057|0.0|-
225.5961|-172.8725|0.1959|-1.0|-0.0057|-0.0|-
230.5761|-169.3441|0.1959|1.0|0.0057|0.0|-
230.5961|-172.8441|0.1959|-1.0|-0.0057|-0.0|-
235.576|-169.3157|0.1959|1.0|0.0057|0.0|-
235.596|-172.8156|0.1959|-1.0|-0.0057|-0.0|-
240.576|-169.2872|0.1959|1.0|0.0057|0.0|-
240.5959|-172.7871|0.1959|-1.0|-0.0057|-0.0|-
245.5759|-169.2587|0.1959|1.0|0.0057|0.0|-
245.5958|-172.7587|0.1959|-1.0|-0.0057|-0.0|-
266.2826|-169.1409|0.1959|1.0|0.0057|0.0|-
266.3025|-172.6408|0.1959|-1.0|-0.0057|-0.0|-
271.2825|-169.1124|0.1959|1.0|0.0057|0.0|-
271.3024|-172.6124|0.1959|-1.0|-0.0057|-0.0|-
276.2824|-169.084|0.1959|1.0|0.0057|0.0|-
276.3023|-172.5839|0.1959|-1.0|-0.0057|-0.0|-
281.2823|-169.0555|0.1959|1.0|0.0057|0.0|-
281.3022|-172.5555|0.1959|-1.0|-0.0057|-0.0|-
286.2823|-169.027|0.1959|1.0|0.0057|0.0|-
286.3022|-172.527|0.1959|-1.0|-0.0057|-0.0|-
291.2822|-168.9986|0.1959|1.0|0.0057|0.0|-
291.3021|-172.4985|0.1959|-1.0|-0.0057|-0.0|-
296.2821|-168.9701|0.1959|1.0|0.0057|0.0|-
296.302|-172.4701|0.1959|-1.0|-0.0057|-0.0|-
301.282|-168.9417|0.1959|1.0|0.0057|0.0|-
301.3019|-172.4416|0.1959|-1.0|-0.0057|-0.0|-
321.7057|-168.8254|0.1959|1.0|0.0057|0.0|-
321.7256|-172.3253|0.1959|-1.0|-0.0057|-0.0|-
326.7056|-168.797|0.1959|1.0|0.0057|0.0|-
326.7255|-172.2969|0.1959|-1.0|-0.0057|-0.0|-
335.2098|-168.7486|0.1959|1.0|0.0057|0.0|-
335.2297|-172.2485|0.1959|-1.0|-0.0057|-0.0|-
340.2097|-168.7201|0.1959|1.0|0.0057|0.0|-
340.2296|-172.22|0.1959|-1.0|-0.0057|-0.0|-
