feat 0 | feat 1 | feat 2 | feat 3 | feat 4 | visited | brake | releasebrake | 
75,51 | 0 | 0 | 4,2 | 0 | 3702 | 9996,41 | 10015,44 | 
76,51 | 0 | 0 | 4,3 | 0 | 3680 | 10014,82 | 10011,03 | 
76,51 | 0 | 0 | 4,4 | 0 | 344 | 10010,89 | 9990,58 | 
77,51 | 0 | 0 | 4,5 | 0 | 311 | 10005,92 | 10007,63 | 
77,51 | 0 | 0 | 4,6 | 0 | 251 | 9986,01 | 10003,66 | 
77,51 | 0 | 0 | 4,7 | 0 | 251 | 10001,95 | 10003,65 | 
77,51 | 0 | 0 | 4,8 | 0 | 134 | 10003,6 | 9940,95 | 
77,51 | 0 | 0 | 4,9 | 0 | 134 | 9929,63 | 10000,0 | 
77,51 | 0 | 0 | 5,0 | 1 | 134 | 0 | 0 | 
48,51 | 0 | 0 | 1,8 | 0 | 3919 | -14531,39 | -14320,33 | 
48,51 | 0 | 0 | 1,9 | 0 | 3193 | -14688,26 | -14084,64 | 
48,51 | 0 | 0 | 2,0 | 0 | 3193 | -15134,98 | -13634,56 | 
48,51 | 0 | 0 | 2,1 | 0 | 3193 | -16378,6 | -13244,24 | 
48,51 | 0 | 0 | 2,2 | 1 | 3192 | 0 | 0 | 
45,51 | 0 | 0 | 1,6 | 0 | 630 | -19851,66 | -19818,85 | 
45,51 | 0 | 0 | 1,7 | 0 | 579 | -20108,64 | -20083,8 | 
45,51 | 0 | 0 | 1,8 | 0 | 579 | -20592,44 | -20669,78 | 
45,51 | 0 | 0 | 1,9 | 0 | 579 | -21898,32 | -21212,31 | 
45,51 | 0 | 0 | 2,0 | 1 | 579 | 0 | 0 | 
43,51 | 0 | 0 | 0,9 | 0 | 4280 | 2262,65 | 5167,32 | 
44,51 | 0 | 0 | 1,0 | 0 | 2915 | 4126,91 | 1843,78 | 
45,51 | 0 | 0 | 1,1 | 0 | 2915 | 4359,69 | 1794,91 | 
46,51 | 0 | 0 | 1,2 | 0 | 2915 | 4525,59 | 1677,08 | 
47,51 | 0 | 0 | 1,3 | 0 | 2915 | 1642,05 | 4625,22 | 
48,51 | 0 | 0 | 1,4 | 0 | 2915 | 2238,6 | 4675,98 | 
49,51 | 0 | 0 | 1,5 | 0 | 2915 | 4710,12 | 2172,44 | 
50,51 | 0 | 0 | 1,6 | 0 | 2915 | 1537,27 | 4765,49 | 
51,51 | 0 | 0 | 1,7 | 0 | 2915 | 4847,51 | 1777,08 | 
52,51 | 0 | 0 | 1,8 | 0 | 2915 | 4947,76 | 1193,44 | 
53,51 | 0 | 0 | 1,9 | 0 | 2915 | 1505,5 | 5025,94 | 
54,51 | 0 | 0 | 2,0 | 0 | 2915 | 525,21 | 5021,84 | 
55,51 | 0 | 0 | 2,1 | 0 | 2913 | 1131,36 | 4863,22 | 
56,51 | 0 | 0 | 2,2 | 0 | 2899 | 1575,74 | 4511,67 | 
57,51 | 0 | 0 | 2,3 | 0 | 2899 | 4014,37 | 940,73 | 
58,51 | 0 | 0 | 2,4 | 0 | 2790 | 3463,69 | 687,14 | 
59,51 | 0 | 0 | 2,5 | 0 | 2710 | 3041,76 | 1639,39 | 
60,51 | 0 | 0 | 2,6 | 0 | 2606 | 2951,97 | 2293,97 | 
61,51 | 0 | 0 | 2,7 | 0 | 2508 | 2488,92 | 3202,06 | 
62,51 | 0 | 0 | 2,8 | 0 | 2498 | 3811,63 | 239,88 | 
62,51 | 0 | 0 | 3,0 | 0 | 983 | -1420,86 | -1769,18 | 
62,51 | 0 | 0 | 3,1 | 1 | 928 | 0 | 0 | 
59,51 | 0 | 0 | 2,7 | 0 | 1683 | -2653,76 | -3512,42 | 
60,51 | 0 | 0 | 2,8 | 0 | 1429 | -2543,65 | -3594,26 | 
60,51 | 0 | 0 | 2,9 | 1 | 1584 | 0 | 0 | 
72,51 | 0 | 0 | 4,0 | 0 | 286 | -1415,26 | -1408,85 | 
73,51 | 0 | 0 | 4,1 | 0 | 234 | -1555,97 | -1611,2 | 
73,51 | 0 | 0 | 4,2 | 0 | 234 | -1939,47 | -1580,47 | 
73,51 | 0 | 0 | 4,3 | 1 | 142 | 0 | 0 | 
46,51 | 0 | 0 | 1,7 | 0 | 862 | -19056,97 | -18774,85 | 
46,51 | 0 | 0 | 1,8 | 0 | 862 | -19195,22 | -18787,85 | 
46,51 | 0 | 0 | 1,9 | 0 | 862 | -18900,58 | -18896,55 | 
46,51 | 0 | 0 | 2,0 | 0 | 862 | -18756,1 | -19464,38 | 
46,51 | 0 | 0 | 2,1 | 1 | 861 | 0 | 0 | 
61,51 | 0 | 0 | 2,9 | 0 | 2572 | -2024,46 | -1365,02 | 
61,51 | 0 | 0 | 3,0 | 1 | 2502 | 0 | 0 | 
50,51 | 0 | 0 | 2,0 | 0 | 4249 | -11906,54 | -9876,94 | 
50,51 | 0 | 0 | 2,1 | 0 | 4233 | -9864,88 | -12391,86 | 
50,51 | 0 | 0 | 2,2 | 0 | 4233 | -12725,25 | -10728,47 | 
50,51 | 0 | 0 | 2,3 | 1 | 4231 | 0 | 0 | 
63,51 | 0 | 0 | 3,1 | 0 | 990 | -676,58 | -2365,6 | 
63,51 | 0 | 0 | 3,2 | 1 | 942 | 0 | 0 | 
77,51 | 0 | 0 | 4,4 | 0 | 3489 | 10013,37 | 10010,97 | 
78,51 | 0 | 0 | 4,5 | 0 | 3437 | 10011,91 | 10009,22 | 
79,51 | 0 | 0 | 4,6 | 0 | 3400 | 10009,67 | 10007,56 | 
80,51 | 0 | 0 | 4,7 | 0 | 3047 | 10007,03 | 10004,36 | 
81,51 | 0 | 0 | 4,8 | 0 | 2982 | 10003,88 | 10001,96 | 
82,51 | 0 | 0 | 4,9 | 0 | 2438 | 10000,0 | 10000,0 | 
83,51 | 0 | 0 | 5,0 | 1 | 2366 | 0 | 0 | 
64,51 | 0 | 0 | 3,2 | 1 | 618 | 0 | 0 | 
55,51 | 0 | 0 | 2,4 | 0 | 2553 | -5955,48 | -6976,38 | 
55,51 | 0 | 0 | 2,5 | 0 | 1952 | -7507,2 | -5070,21 | 
55,51 | 0 | 0 | 2,6 | 1 | 1951 | 0 | 0 | 
68,51 | 0 | 0 | 3,6 | 1 | 435 | 0 | 0 | 
45,51 | 0 | 0 | 1,0 | 0 | 1365 | 6238,94 | 6783,49 | 
46,51 | 0 | 0 | 1,1 | 0 | 1365 | 4400,56 | 7680,94 | 
